Timestamp,Age,Gender,Living Area,Class,Household Size,To what extent are your Parents involved in your education,Are your Parents literate,What is the highest level of education of your Father,What is the highest level of education of your Mother,Who is more likely to help with your homework,How likely is your Mother to help with your homework,How likely is your Father to help with your homework,How far is your school from your home,What transportation type do you get to school with,Are there famous landmarks where you live,Is the road to your home tarred,Do you have three-square meals every day,How often do you eat vegetables and fruits in your home,How often do you take vitamins,Can you say that you eat balanced diet at home,Do you take breakfast before school,Do you take food/lunch to school,What is your attendance percentage for the last school year/session,How many hours do you spend studying everyday,How many hours do you sleep everyday,How often do you exercise,What after school activities do you engage in? (Tick all that apply.),Do you engage or participate in any extracurricular activities in school,"Are you a part of any club in school? (School clubs like Jet, Press, Red Cross etc.)",Do you participate in debates and school intellectual competitions,Do you participate in sporting activities in school,"Do you have a personal smartphone or device such as laptop, tablet etc.?",Do you have access to Internet services,What is your current exams grade score,Is your academic performance balanced,What is your current position in the overall grade at school
12/05/2025 15:06:12,5 - 10 years,Female,Urban,4,8,Not at all involved,Yes,University or Polytechnic Degree,University or Polytechnic Degree,Mother,Likely,Not likely,Not Far,"Public transportation (Bike, Cab, Bus etc.)",Yes,Yes,No,Not Often,Not Often,No,Yes,Yes,40 - 60 %,Between 1hr - 3hrs,6 - 7hrs,Not Often,"After school lessons, Reading, Playing, ",Yes,No,No,Yes,No,No,Between 45 - 55 %,Yes,Top 5
13/05/2025 18:51:15,15 - 20 years,Male,Urban,SSS 1,6,Involved,No,WAEC/SSCE,WAEC/SSCE,Mother,Likely,Not likely,Very Far,Trekking,No,No,No,Not Often,Not Often,No,Yes,No,60 & above,Between 1hr - 3hrs,7 - 8hrs,Not Often,Hawking/Trading,Yes,Yes,No,Yes,No,No,Between 55 - 65 %,No,Top 10
13/05/2025 18:58:14,15 - 20 years,Male,Urban,Sss 3,5,Involved,No,Informal Education (Vocational Training),Informal Education (Vocational Training),"Other (Siblings, other family members, lesson teacher etc.)",Not likely,Not likely,Not Far,"Public transportation (Bike, Cab, Bus etc.)",No,No,Yes,Not Often,Often,No,Yes,Yes,60 & above,Below 1hr,6 - 7hrs,Often,Playing,No,Yes,Yes,Yes,No,Yes,65 & above,Yes,Top 10
13/05/2025 18:59:32,15 - 20 years,Male,Urban,Ss 1,4,Not at all involved,No,Informal Education (Vocational Training),Informal Education (Vocational Training),"Other (Siblings, other family members, lesson teacher etc.)",Not likely,Not likely,Far,Trekking,Yes,Yes,Yes,Often,Often,Yes,Yes,Yes,40 - 60 %,Below 1hr,4 - 5hrs,Often,After school lessons,Yes,Yes,Yes,Yes,Yes,Yes,Between 45 - 55 %,Yes,Top 10
13/05/2025 19:00:39,15 - 20 years,Female,Rural,Ss 2,6,Very Involved,Yes,Masters Degree,Masters Degree,Mother,Likely,Likely,Not Far,"Public transportation (Bike, Cab, Bus etc.)",No,No,No,Not Often,Not Often,Yes,Yes,Yes,60 & above,Below 1hr,6 - 7hrs,Not Often,Reading,Yes,Yes,Yes,Yes,Yes,Yes,65 & above,Yes,Top 5
13/05/2025 19:10:17,15 - 20 years,Male,Urban,N,6,Involved,Yes,WAEC/SSCE,Informal Education (Vocational Training),Mother,Very likely,Likely,Very Far,"Public transportation (Bike, Cab, Bus etc.)",Yes,Yes,No,Often,Often,Yes,Yes,Yes,40 - 60 %,Between 1hr - 3hrs,4 - 5hrs,Often,"After school lessons, Reading, Playing, Sleeping",Yes,Yes,Yes,Yes,Yes,Yes,65 & above,Yes,Top 10
13/05/2025 19:22:26,15 - 20 years,Male,Urban,200,6,Very Involved,Yes,Masters Degree,PhD,Mother,Very likely,Not likely,Very Far,Private transportation (Parents car/vehicle),Yes,Yes,Yes,Very Often,Very Often,Yes,Yes,Yes,60 & above,Below 1hr,7 - 8hrs,Often,Play Football ,Yes,Yes,Yes,Yes,Yes,Yes,65 & above,Yes,Top 3
13/05/2025 19:24:32,15 - 20 years,Female,Urban,Ss2,5,Very Involved,No,University or Polytechnic Degree,Masters Degree,Father,Likely,Very likely,Very Far,"Public transportation (Bike, Cab, Bus etc.)",Yes,Yes,Yes,Often,Often,Yes,No,Yes,60 & above,Between 1hr - 3hrs,6 - 7hrs,Often,Reading,Yes,Yes,Yes,Yes,Yes,Yes,65 & above,Yes,Top 5
13/05/2025 19:25:40,15 - 20 years,Male,Semi-urban,Midde class,5,Very Involved,Yes,University or Polytechnic Degree,University or Polytechnic Degree,Mother,Very likely,Likely,Not Far,"Public transportation (Bike, Cab, Bus etc.)",Yes,Yes,No,Often,Often,Yes,Yes,Yes,60 & above,3hrs & above,6 - 7hrs,Not Often,"Reading, Playing, Sleeping",Yes,Yes,Yes,Yes,Yes,Yes,65 & above,Yes,Top 3
13/05/2025 19:34:08,15 - 20 years,Female,Urban,Ss3,ini koko,Very Involved,No,PhD,University or Polytechnic Degree,"Other (Siblings, other family members, lesson teacher etc.)",Not likely,Likely,Very Far,"Public transportation (Bike, Cab, Bus etc.)",No,No,Yes,Very Often,Very Often,Yes,Yes,Yes,40 - 60 %,Below 1hr,7 - 8hrs,Not Often,"Reading, ini koko",Yes,Yes,Yes,Yes,Yes,Yes,Between 55 - 65 %,Yes,Top 5
13/05/2025 19:37:58,10 - 15 years,Female,Semi-urban,Sss2,2,Not at all involved,Yes,Masters Degree,University or Polytechnic Degree,Father,Not likely,Very likely,Far,"Public transportation (Bike, Cab, Bus etc.)",No,No,Yes,Not Often,Not Often,Yes,No,No,60 & above,3hrs & above,4 - 5hrs,Not Often,"Reading, Playing, Sleeping",No,No,Yes,No,Yes,Yes,65 & above,Yes,Top 10
13/05/2025 19:39:58,10 - 15 years,Female,Urban,SSS 3,6,Very Involved,No,PhD,PhD,"Other (Siblings, other family members, lesson teacher etc.)",Likely,Likely,Not Far,Trekking,Yes,Yes,Yes,Often,Often,Yes,Yes,Yes,60 & above,Between 1hr - 3hrs,7 - 8hrs,Not Often,After school lessons,Yes,Yes,Yes,Yes,Yes,Yes,65 & above,Yes,Top 10
13/05/2025 19:41:03,10 - 15 years,Female,Semi-urban,Senior secondary school 2,Duplex ,Involved,Yes,Informal Education (Vocational Training),WAEC/SSCE,"Other (Siblings, other family members, lesson teacher etc.)",Not likely,Not likely,Very Far,"Public transportation (Bike, Cab, Bus etc.)",No,No,Yes,Often,Often,Yes,No,No,60 & above,Between 1hr - 3hrs,4 - 5hrs,Not Often,Sleeping,No,No,No,No,Yes,Yes,65 & above,Yes,Top 10
13/05/2025 20:09:12,15 - 20 years,Female,Urban,Middle,Small,Very Involved,Yes,University or Polytechnic Degree,University or Polytechnic Degree,"Other (Siblings, other family members, lesson teacher etc.)",Likely,Likely,Not Far,"Public transportation (Bike, Cab, Bus etc.)",Yes,No,Yes,Often,Not Often,Yes,Yes,Yes,60 & above,3hrs & above,7 - 8hrs,Not Often,Reading,Yes,Yes,No,No,Yes,Yes,65 & above,Yes,Top 5
13/05/2025 20:10:08,10 - 15 years,Female,Semi-urban,SSS2,Duplex ,Involved,Yes,WAEC/SSCE,WAEC/SSCE,"Other (Siblings, other family members, lesson teacher etc.)",Not likely,Not likely,Far,"Public transportation (Bike, Cab, Bus etc.)",No,Yes,No,Often,Not Often,Yes,No,No,60 & above,Between 1hr - 3hrs,4 - 5hrs,Not Often,Sleeping,No,No,No,No,Yes,Yes,65 & above,Yes,Top 10
13/05/2025 20:15:17,15 - 20 years,Male,Rural,Middle class,5,Very Involved,Yes,WAEC/SSCE,WAEC/SSCE,"Other (Siblings, other family members, lesson teacher etc.)",Likely,Likely,Not Far,"Public transportation (Bike, Cab, Bus etc.)",Yes,No,No,Not Often,Not Often,No,Yes,No,40 - 60 %,Below 1hr,6 - 7hrs,Not Often,Reading,No,No,Yes,Yes,Yes,Yes,Between 45 - 55 %,No,Top 5
13/05/2025 20:33:12,15 - 20 years,Female,Semi-urban,Done with secondary school ,8,Very Involved,Yes,WAEC/SSCE,University or Polytechnic Degree,"Other (Siblings, other family members, lesson teacher etc.)",Likely,Not likely,Very Far,"Public transportation (Bike, Cab, Bus etc.)",Yes,No,Yes,Often,Often,Yes,No,Yes,60 & above,Below 1hr,6 - 7hrs,Not Often,"Sleeping, Home chores",No,No,No,No,Yes,Yes,65 & above,Yes,Top 10
