Timestamp,Age,Gender,Living Area,Class,Household Size,Parent Involvement,Literate Parents,Qualification - Father,Qualification - Mother,Homework Assistance,Homework Assistance - Mother,Homework Assistance - Father,School Distance,Transportation,Famous Landmarks,Tarred Road,Meals (3-Square),Veggies & Fruits,Vitamins,Balanced Diet,Breakfast,Lunch,Attendance,Study Hours,Sleep Hours,Exercise,After-School Activities,Extracurricular Activities,School Club,Intellectual Competitions,Sporting Activities,Gadgets,Internet,Grade,Academic Balance,Position
12/05/2025 15:06,5 - 10 Years,Female,Urban,4,8,Not At All Involved,Yes,University Or Polytechnic Degree,University Or Polytechnic Degree,Mother,Likely,Not Likely,Not Far,"Public Transportation (Bike, Cab, Bus Etc.)",Yes,Yes,No,Not Often,Not Often,No,Yes,Yes,40 - 60 %,Between 1Hr - 3Hrs,6 - 7Hrs,Not Often,"After School Lessons, Playing, Reading",Yes,No,No,Yes,No,No,Between 45 - 55 %,Yes,Top 5
13/05/2025 18:51,15 - 20 Years,Male,Urban,SS 1,6,Involved,No,Waec/Ssce,Waec/Ssce,Mother,Likely,Not Likely,Very Far,Trekking,No,No,No,Not Often,Not Often,No,Yes,No,60 & Above,Between 1Hr - 3Hrs,7 - 8Hrs,Not Often,Hawking/Trading,Yes,Yes,No,Yes,No,No,Between 55 - 65 %,No,Top 10
13/05/2025 18:58,15 - 20 Years,Male,Urban,SS 3,5,Involved,No,Informal Education (Vocational Training),Informal Education (Vocational Training),"Other (Siblings, Other Family Members, Lesson Teacher Etc.)",Not Likely,Not Likely,Not Far,"Public Transportation (Bike, Cab, Bus Etc.)",No,No,Yes,Not Often,Often,No,Yes,Yes,60 & Above,Below 1Hr,6 - 7Hrs,Often,Playing,No,Yes,Yes,Yes,No,Yes,65 & Above,Yes,Top 10
13/05/2025 18:59,15 - 20 Years,Male,Urban,SS 1,4,Not At All Involved,No,Informal Education (Vocational Training),Informal Education (Vocational Training),"Other (Siblings, Other Family Members, Lesson Teacher Etc.)",Not Likely,Not Likely,Far,Trekking,Yes,Yes,Yes,Often,Often,Yes,Yes,Yes,40 - 60 %,Below 1Hr,4 - 5Hrs,Often,After School Lessons,Yes,Yes,Yes,Yes,Yes,Yes,Between 45 - 55 %,Yes,Top 10
13/05/2025 19:00,15 - 20 Years,Female,Rural,SS 2,6,Very Involved,Yes,Masters Degree,Masters Degree,Mother,Likely,Likely,Not Far,"Public Transportation (Bike, Cab, Bus Etc.)",No,No,No,Not Often,Not Often,Yes,Yes,Yes,60 & Above,Below 1Hr,6 - 7Hrs,Not Often,Reading,Yes,Yes,Yes,Yes,Yes,Yes,65 & Above,Yes,Top 5
13/05/2025 19:10,15 - 20 Years,Male,Urban,N,6,Involved,Yes,Waec/Ssce,Informal Education (Vocational Training),Mother,Very Likely,Likely,Very Far,"Public Transportation (Bike, Cab, Bus Etc.)",Yes,Yes,No,Often,Often,Yes,Yes,Yes,40 - 60 %,Between 1Hr - 3Hrs,4 - 5Hrs,Often,"After School Lessons, Playing, Reading, Sleeping",Yes,Yes,Yes,Yes,Yes,Yes,65 & Above,Yes,Top 10
13/05/2025 19:22,15 - 20 Years,Male,Urban,200,6,Very Involved,Yes,Masters Degree,Phd,Mother,Very Likely,Not Likely,Very Far,Private Transportation (Parents Car/Vehicle),Yes,Yes,Yes,Very Often,Very Often,Yes,Yes,Yes,60 & Above,Below 1Hr,7 - 8Hrs,Often,Play Football,Yes,Yes,Yes,Yes,Yes,Yes,65 & Above,Yes,Top 3
13/05/2025 19:24,15 - 20 Years,Female,Urban,SS2,5,Very Involved,No,University Or Polytechnic Degree,Masters Degree,Father,Likely,Very Likely,Very Far,"Public Transportation (Bike, Cab, Bus Etc.)",Yes,Yes,Yes,Often,Often,Yes,No,Yes,60 & Above,Between 1Hr - 3Hrs,6 - 7Hrs,Often,Reading,Yes,Yes,Yes,Yes,Yes,Yes,65 & Above,Yes,Top 5
13/05/2025 19:25,15 - 20 Years,Male,Semi-Urban,MIDDE CLASS,5,Very Involved,Yes,University Or Polytechnic Degree,University Or Polytechnic Degree,Mother,Very Likely,Likely,Not Far,"Public Transportation (Bike, Cab, Bus Etc.)",Yes,Yes,No,Often,Often,Yes,Yes,Yes,60 & Above,3Hrs & Above,6 - 7Hrs,Not Often,"Playing, Reading, Sleeping",Yes,Yes,Yes,Yes,Yes,Yes,65 & Above,Yes,Top 3
13/05/2025 19:34,15 - 20 Years,Female,Urban,SS3,Ini Koko,Very Involved,No,Phd,University Or Polytechnic Degree,"Other (Siblings, Other Family Members, Lesson Teacher Etc.)",Not Likely,Likely,Very Far,"Public Transportation (Bike, Cab, Bus Etc.)",No,No,Yes,Very Often,Very Often,Yes,Yes,Yes,40 - 60 %,Below 1Hr,7 - 8Hrs,Not Often,"Ini Koko, Reading",Yes,Yes,Yes,Yes,Yes,Yes,Between 55 - 65 %,Yes,Top 5
