Age,Gender,Living Area,Class,Household Size,Parent Involvement,Literate Parents,Qualification - Father,Qualification - Mother,Homework Assistance,Homework Assistance - Mother,Homework Assistance - Father,School Distance,Transportation,Famous Landmarks,Tarred Road,Meals (3-Square),Veggies & Fruits,Vitamins,Balanced Diet,Breakfast,Lunch,Attendance,Study Hours,Sleep Hours,Exercise,After-School Activities,Extracurricular Activities,School Club,Intellectual Competitions,Sporting Activities,Gadgets,Internet,Grade,Position
0,1,1,2,1,2,1,0,2,1,1,1,1,1,0,0,1,1,0,1,1,0,1,2,2,1,2,1,1,1,1,0,1,0,0
0,0,1,0,1,2,0,3,2,2,0,2,2,2,0,1,0,0,1,0,1,1,1,1,2,2,1,1,0,0,1,0,0,0,1
1,0,2,0,0,1,1,0,0,2,0,1,1,0,1,1,1,1,1,0,0,0,2,1,2,0,2,1,1,0,1,0,0,0,1
0,1,2,1,1,0,0,1,2,2,0,0,0,2,0,1,1,0,0,0,0,0,2,2,2,0,1,1,0,1,0,0,1,0,1
0,1,2,1,0,1,1,2,3,1,0,0,2,0,0,1,0,2,1,1,1,1,2,0,1,0,2,0,1,0,1,0,1,0,0
0,0,2,2,2,0,1,2,2,2,0,1,1,1,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1
1,0,2,2,0,0,1,0,1,2,0,0,1,2,0,1,0,0,0,0,1,1,1,2,1,0,1,0,0,1,1,0,1,0,1
0,0,2,2,0,0,1,2,0,2,2,1,2,2,0,0,1,0,1,0,1,1,2,2,2,0,0,0,1,0,1,1,0,0,0
1,0,0,2,1,2,1,3,2,1,2,0,2,2,0,0,0,0,0,0,0,0,1,2,1,0,1,0,1,0,1,0,0,0,0
1,1,0,1,1,0,1,2,3,1,2,0,2,1,0,1,1,0,1,1,1,1,2,2,2,0,2,1,1,0,0,1,1,0,0
1,1,0,1,1,2,1,1,3,1,0,0,1,1,0,0,0,0,0,0,0,0,1,2,2,0,1,1,1,1,1,1,1,0,1
1,1,1,2,0,0,0,2,2,2,1,0,0,1,1,1,1,1,1,1,1,1,1,2,2,0,2,1,0,1,1,0,0,0,1
0,1,2,2,0,2,1,2,3,2,2,0,0,1,0,1,1,0,0,1,1,1,2,2,1,1,1,1,0,1,1,1,0,0,0
1,1,1,0,0,2,0,2,3,2,0,1,2,1,1,0,1,0,1,1,1,0,2,2,2,0,1,1,1,1,0,1,0,0,1
1,1,0,2,0,2,1,3,2,2,0,1,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,0,1
1,0,2,2,1,0,1,2,3,2,2,0,0,1,0,0,1,0,1,0,0,0,2,2,1,1,2,1,1,1,1,1,1,0,1
1,0,0,2,1,0,1,2,2,2,0,1,1,0,0,1,0,0,1,1,0,1,2,2,1,0,1,0,0,1,1,1,1,0,1
1,1,1,0,0,0,0,2,3,2,1,1,1,1,1,0,0,0,0,1,1,0,1,1,1,0,2,1,1,1,0,1,1,0,1
1,0,2,0,1,0,1,2,2,2,2,0,1,1,1,1,1,1,2,1,0,1,1,0,1,0,2,0,1,1,1,1,1,0,0
1,0,1,1,2,2,1,3,0,2,2,1,2,1,1,0,1,0,0,0,0,1,2,0,1,0,0,1,1,0,1,1,0,0,1
1,0,0,1,0,1,1,2,2,1,1,1,1,2,0,0,0,0,0,0,0,0,1,2,1,0,2,0,0,0,0,0,0,0,0
0,0,2,1,2,0,0,0,1,0,0,2,2,2,1,0,0,0,2,0,1,1,1,2,2,0,2,1,1,0,1,0,0,0,1
1,0,1,1,1,0,1,0,0,0,0,0,1,1,0,1,1,0,2,0,1,0,2,1,1,0,1,0,1,1,0,0,1,0,1
1,0,0,2,1,1,1,2,2,1,0,1,2,2,0,0,1,1,1,1,1,0,1,2,2,0,0,1,0,1,1,1,1,0,0
1,0,2,2,2,1,1,1,0,1,2,2,0,1,0,1,1,0,0,1,1,0,2,1,1,2,1,1,0,1,1,0,1,0,0
1,0,2,0,2,0,1,2,3,2,1,0,0,1,1,1,1,0,0,1,1,0,2,1,0,2,2,0,1,1,1,0,0,0,0
