Timestamp,Age,Gender,Living Area,Class,Household Size,To what extent are your Parents involved in your education,Are your Parents literate,What is the highest level of education of your Father,What is the highest level of education of your Mother,Who is more likely to help with your homework,How likely is your Mother to help with your homework,How likely is your Father to help with your homework,How far is your school from your home,What transportation type do you get to school with,Are there famous landmarks where you live,Is the road to your home tarred,Do you have three-square meals every day,How often do you eat vegetables and fruits in your home,How often do you take vitamins,Can you say that you eat balanced diet at home,Do you take breakfast before school,Do you take food/lunch to school,What is your attendance percentage for the last school year/session,How many hours do you spend studying everyday,How many hours do you sleep everyday,How often do you exercise,What after school activities do you engage in? (Tick all that apply.),Do you engage or participate in any extracurricular activities in school,"Are you a part of any club in school? (School clubs like Jet, Press, Red Cross etc.)",Do you participate in debates and school intellectual competitions,Do you participate in sporting activities in school,"Do you have a personal smartphone or device such as laptop, tablet etc.?",Do you have access to Internet services,What is your current exams grade score,Is your academic performance balanced,What is your current position in the overall grade at school
12/05/2025 15:06:12,5 - 10 Years,Female,Urban,4,8,Not At All Involved,Yes,University Or Polytechnic Degree,University Or Polytechnic Degree,Mother,Likely,Not Likely,Not Far,"Public Transportation (Bike, Cab, Bus Etc.)",Yes,Yes,No,Not Often,Not Often,No,Yes,Yes,40 - 60 %,Between 1Hr - 3Hrs,6 - 7Hrs,Not Often,"After School Lessons, Playing, Reading",Yes,No,No,Yes,No,No,Between 45 - 55 %,Yes,Top 5
13/05/2025 18:51:15,15 - 20 Years,Male,Urban,SS 1,6,Involved,No,Waec/Ssce,Waec/Ssce,Mother,Likely,Not Likely,Very Far,Trekking,No,No,No,Not Often,Not Often,No,Yes,No,60 & Above,Between 1Hr - 3Hrs,7 - 8Hrs,Not Often,Hawking/Trading,Yes,Yes,No,Yes,No,No,Between 55 - 65 %,No,Top 10
13/05/2025 18:58:14,15 - 20 Years,Male,Urban,SS 3,5,Involved,No,Informal Education (Vocational Training),Informal Education (Vocational Training),"Other (Siblings, Other Family Members, Lesson Teacher Etc.)",Not Likely,Not Likely,Not Far,"Public Transportation (Bike, Cab, Bus Etc.)",No,No,Yes,Not Often,Often,No,Yes,Yes,60 & Above,Below 1Hr,6 - 7Hrs,Often,Playing,No,Yes,Yes,Yes,No,Yes,65 & Above,Yes,Top 10
13/05/2025 18:59:32,15 - 20 Years,Male,Urban,SS 1,4,Not At All Involved,No,Informal Education (Vocational Training),Informal Education (Vocational Training),"Other (Siblings, Other Family Members, Lesson Teacher Etc.)",Not Likely,Not Likely,Far,Trekking,Yes,Yes,Yes,Often,Often,Yes,Yes,Yes,40 - 60 %,Below 1Hr,4 - 5Hrs,Often,After School Lessons,Yes,Yes,Yes,Yes,Yes,Yes,Between 45 - 55 %,Yes,Top 10
13/05/2025 19:00:39,15 - 20 Years,Female,Rural,SS 2,6,Very Involved,Yes,Masters Degree,Masters Degree,Mother,Likely,Likely,Not Far,"Public Transportation (Bike, Cab, Bus Etc.)",No,No,No,Not Often,Not Often,Yes,Yes,Yes,60 & Above,Below 1Hr,6 - 7Hrs,Not Often,Reading,Yes,Yes,Yes,Yes,Yes,Yes,65 & Above,Yes,Top 5
13/05/2025 19:10:17,15 - 20 Years,Male,Urban,N,6,Involved,Yes,Waec/Ssce,Informal Education (Vocational Training),Mother,Very Likely,Likely,Very Far,"Public Transportation (Bike, Cab, Bus Etc.)",Yes,Yes,No,Often,Often,Yes,Yes,Yes,40 - 60 %,Between 1Hr - 3Hrs,4 - 5Hrs,Often,"After School Lessons, Playing, Reading, Sleeping",Yes,Yes,Yes,Yes,Yes,Yes,65 & Above,Yes,Top 10
13/05/2025 19:22:26,15 - 20 Years,Male,Urban,200,6,Very Involved,Yes,Masters Degree,Phd,Mother,Very Likely,Not Likely,Very Far,Private Transportation (Parents Car/Vehicle),Yes,Yes,Yes,Very Often,Very Often,Yes,Yes,Yes,60 & Above,Below 1Hr,7 - 8Hrs,Often,Play Football,Yes,Yes,Yes,Yes,Yes,Yes,65 & Above,Yes,Top 3
13/05/2025 19:24:32,15 - 20 Years,Female,Urban,SS2,5,Very Involved,No,University Or Polytechnic Degree,Masters Degree,Father,Likely,Very Likely,Very Far,"Public Transportation (Bike, Cab, Bus Etc.)",Yes,Yes,Yes,Often,Often,Yes,No,Yes,60 & Above,Between 1Hr - 3Hrs,6 - 7Hrs,Often,Reading,Yes,Yes,Yes,Yes,Yes,Yes,65 & Above,Yes,Top 5
13/05/2025 19:25:40,15 - 20 Years,Male,Semi-Urban,MIDDE CLASS,5,Very Involved,Yes,University Or Polytechnic Degree,University Or Polytechnic Degree,Mother,Very Likely,Likely,Not Far,"Public Transportation (Bike, Cab, Bus Etc.)",Yes,Yes,No,Often,Often,Yes,Yes,Yes,60 & Above,3Hrs & Above,6 - 7Hrs,Not Often,"Playing, Reading, Sleeping",Yes,Yes,Yes,Yes,Yes,Yes,65 & Above,Yes,Top 3
13/05/2025 19:34:08,15 - 20 Years,Female,Urban,SS3,Ini Koko,Very Involved,No,Phd,University Or Polytechnic Degree,"Other (Siblings, Other Family Members, Lesson Teacher Etc.)",Not Likely,Likely,Very Far,"Public Transportation (Bike, Cab, Bus Etc.)",No,No,Yes,Very Often,Very Often,Yes,Yes,Yes,40 - 60 %,Below 1Hr,7 - 8Hrs,Not Often,"Ini Koko, Reading",Yes,Yes,Yes,Yes,Yes,Yes,Between 55 - 65 %,Yes,Top 5
